Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Precaution_1,Precaution_2,Precaution_3,Precaution_4
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
